date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_14 14:00;29;0;0;practice;1;53;1;47;24;95;38;0.57999999999999996;0.28000000000000003;0.02;0.12;8;22;93;96;0.54000000000000004;0.34000000000000002;0.10000000000000001;0.0199999999999999;0;12.269203790675874;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;2;19;1;25;73;0;0;0.69999999999999996;0.29999999999999999;0.0;0.0;87;84;1;86;0.040000000000000001;0.59999999999999998;0.28000000000000003;0.080000000000000002;1;5.723974224636777;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;3;9;0;57;44;0;0;0.14999999999999999;0.84999999999999998;0.0;0.0;38;35;64;95;0.34000000000000002;0.45000000000000001;0.089999999999999997;0.12;1;8.195176436666088;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;4;62;0;65;52;74;55;0.16;0.12;0.14999999999999999;0.56999999999999995;72;86;2;68;0.12;0.53000000000000003;0.22;0.13;1;3.772496913749592;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;5;58;1;44;50;85;42;0.38;0.57999999999999996;0.02;0.02;37;88;19;12;0.20000000000000001;0.29999999999999999;0.46000000000000002;0.040000000000000001;1;10.456866101471405;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;6;72;1;86;85;97;43;0.51000000000000001;0.14999999999999999;0.33000000000000002;0.0099999999999999499;72;29;10;90;0.01;0.11;0.65000000000000002;0.23000000000000001;0;5.273534002958968;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;7;65;0;35;15;77;1;0.62;0.33000000000000002;0.029999999999999999;0.02;68;3;25;96;0.38;0.28000000000000003;0.28000000000000003;0.059999999999999901;1;2.941602271557258;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;8;21;0;59;69;0;0;0.34000000000000002;0.66000000000000003;0.0;0.0;64;18;5;24;0.14999999999999999;0.040000000000000001;0.51000000000000001;0.29999999999999999;0;4.182444631110684;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;9;52;0;17;61;57;59;0.070000000000000007;0.050000000000000003;0.33000000000000002;0.55000000000000004;12;93;94;62;0.71999999999999997;0.16;0.080000000000000002;0.040000000000000001;0;4.5031459067611195;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;10;22;1;84;87;0;0;0.17000000000000001;0.82999999999999996;0.0;0.0;3;24;41;83;0.68000000000000005;0.11;0.10000000000000001;0.11;0;5.643904266418758;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;11;37;0;50;66;99;12;0.26000000000000001;0.71999999999999997;0.01;0.01;22;90;0;0;0.37;0.63;0.0;0.0;1;4.692964503549092;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;12;3;0;20;70;0;0;0.13;0.87;0.0;0.0;95;19;80;73;0.31;0.57999999999999996;0.029999999999999999;0.080000000000000002;0;10.967399444683224;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;13;30;1;54;78;85;25;0.20999999999999999;0.60999999999999999;0.089999999999999997;0.090000000000000094;87;20;0;0;0.58999999999999997;0.40999999999999998;0.0;0.0;1;2.861568235402501;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;14;39;0;53;65;48;75;0.92000000000000004;0.029999999999999999;0.01;0.040000000000000001;16;83;0;0;0.31;0.68999999999999995;0.0;0.0;1;3.3123484337497757;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;15;4;0;40;59;0;0;0.19;0.81000000000000005;0.0;0.0;10;88;13;45;0.56000000000000005;0.28999999999999998;0.01;0.14000000000000001;0;3.1817512069974327;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;16;23;0;99;93;0;0;0.57999999999999996;0.41999999999999998;0.0;0.0;64;10;80;81;0.13;0.55000000000000004;0.02;0.29999999999999999;0;2.3617175364777268;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;17;40;1;29;65;30;41;0.70999999999999996;0.01;0.14999999999999999;0.13;2;59;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;1;5.443665384698079;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;18;8;1;20;44;0;0;0.26000000000000001;0.73999999999999999;0.0;0.0;99;3;69;24;0.20999999999999999;0.60999999999999999;0.12;0.060000000000000102;0;6.113756193749623;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;19;73;1;99;88;95;28;0.83999999999999997;0.14000000000000001;0.01;0.01;90;93;10;74;0.080000000000000002;0.46000000000000002;0.34999999999999998;0.11;0;3.0816947901141702;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;20;47;1;91;99;90;78;0.93000000000000005;0.040000000000000001;0.02;0.0099999999999999499;10;87;0;0;0.23000000000000001;0.77000000000000002;0.0;0.0;0;2.6113630466529685;70;41;23;1;nein
2019_03_14 14:00;29;0;0;practice;21;49;1;14;31;42;22;0.77000000000000002;0.089999999999999997;0.02;0.12;87;28;0;0;0.68000000000000005;0.32000000000000001;0.0;0.0;1;2.27127315810435;70;41;23;1;nein
