date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_15 12:49;31;0;0;practice;1;8;0;20;44;0;0;0.26000000000000001;0.73999999999999999;0.0;0.0;99;3;69;24;0.20999999999999999;0.60999999999999999;0.12;0.060000000000000102;1;14.411208553803476;26;52;22;1;  sehr umfaagreiches set an entscheidungssituationen war ermuedend habe bemerkt dass ich ein bis zwei mal sicherlich nicht die optimale loesung gewaehlt habe
2019_03_15 12:49;31;0;0;practice;2;53;0;47;24;95;38;0.57999999999999996;0.28000000000000003;0.02;0.12;8;22;93;96;0.54000000000000004;0.34000000000000002;0.10000000000000001;0.0199999999999999;0;9.333195957097587;26;52;22;1;  sehr umfaagreiches set an entscheidungssituationen war ermuedend habe bemerkt dass ich ein bis zwei mal sicherlich nicht die optimale loesung gewaehlt habe
2019_03_15 12:49;31;0;0;practice;3;1;1;67;36;0;0;0.14999999999999999;0.84999999999999998;0.0;0.0;1;4;81;77;0.25;0.54000000000000004;0.14000000000000001;0.070000000000000007;0;4.316689961827592;26;52;22;1;  sehr umfaagreiches set an entscheidungssituationen war ermuedend habe bemerkt dass ich ein bis zwei mal sicherlich nicht die optimale loesung gewaehlt habe
2019_03_15 12:49;31;0;0;practice;4;38;1;51;89;10;60;0.57999999999999996;0.029999999999999999;0.080000000000000002;0.31;8;84;0;0;0.33000000000000002;0.67000000000000004;0.0;0.0;1;8.833280307175414;26;52;22;1;  sehr umfaagreiches set an entscheidungssituationen war ermuedend habe bemerkt dass ich ein bis zwei mal sicherlich nicht die optimale loesung gewaehlt habe
2019_03_15 12:49;31;0;0;practice;5;61;0;51;48;56;88;0.91000000000000003;0.02;0.01;0.059999999999999998;78;21;14;82;0.55000000000000004;0.29999999999999999;0.070000000000000007;0.080000000000000002;1;12.016543840552004;26;52;22;1;  sehr umfaagreiches set an entscheidungssituationen war ermuedend habe bemerkt dass ich ein bis zwei mal sicherlich nicht die optimale loesung gewaehlt habe
2019_03_15 12:49;31;0;0;practice;6;6;1;42;59;0;0;0.35999999999999999;0.64000000000000001;0.0;0.0;77;19;6;7;0.44;0.14999999999999999;0.17999999999999999;0.23000000000000001;0;4.966548940043481;26;52;22;1;  sehr umfaagreiches set an entscheidungssituationen war ermuedend habe bemerkt dass ich ein bis zwei mal sicherlich nicht die optimale loesung gewaehlt habe
2019_03_15 12:49;31;0;0;practice;7;64;0;44;60;96;45;0.53000000000000003;0.10000000000000001;0.029999999999999999;0.34000000000000002;88;20;43;31;0.47999999999999998;0.38;0.050000000000000003;0.089999999999999997;1;5.299825719268824;26;52;22;1;  sehr umfaagreiches set an entscheidungssituationen war ermuedend habe bemerkt dass ich ein bis zwei mal sicherlich nicht die optimale loesung gewaehlt habe
2019_03_15 12:49;31;0;0;practice;8;63;1;24;82;6;96;0.91000000000000003;0.070000000000000007;0.01;0.0099999999999999603;73;10;71;22;0.31;0.51000000000000001;0.050000000000000003;0.13;1;10.666464397531968;26;52;22;1;  sehr umfaagreiches set an entscheidungssituationen war ermuedend habe bemerkt dass ich ein bis zwei mal sicherlich nicht die optimale loesung gewaehlt habe
2019_03_15 12:49;31;0;0;practice;9;13;0;15;25;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;3;43;35;73;0.44;0.40000000000000002;0.01;0.14999999999999999;0;8.683140055125818;26;52;22;1;  sehr umfaagreiches set an entscheidungssituationen war ermuedend habe bemerkt dass ich ein bis zwei mal sicherlich nicht die optimale loesung gewaehlt habe
2019_03_15 12:49;31;0;0;practice;10;9;0;57;44;0;0;0.14999999999999999;0.84999999999999998;0.0;0.0;38;35;64;95;0.34000000000000002;0.45000000000000001;0.089999999999999997;0.12;0;12.333199805770278;26;52;22;1;  sehr umfaagreiches set an entscheidungssituationen war ermuedend habe bemerkt dass ich ein bis zwei mal sicherlich nicht die optimale loesung gewaehlt habe
