date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_22 14:53;54;0;1;practice;1;35;1;84;95;4;35;0.89000000000000001;0.050000000000000003;0.01;0.050000000000000003;5;98;0;0;0.19;0.81000000000000005;0.0;0.0;1;17.365962703914192;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;2;34;0;57;23;66;79;0.56000000000000005;0.23000000000000001;0.13;0.079999999999999905;85;9;0;0;0.56000000000000005;0.44;0.0;0.0;1;9.16641383105889;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;3;23;0;99;93;0;0;0.57999999999999996;0.41999999999999998;0.0;0.0;64;10;80;81;0.13;0.55000000000000004;0.02;0.29999999999999999;0;8.966242116659487;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;4;9;0;57;44;0;0;0.14999999999999999;0.84999999999999998;0.0;0.0;38;35;64;95;0.34000000000000002;0.45000000000000001;0.089999999999999997;0.12;1;11.099644063056985;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;5;21;0;59;69;0;0;0.34000000000000002;0.66000000000000003;0.0;0.0;64;18;5;24;0.14999999999999999;0.040000000000000001;0.51000000000000001;0.29999999999999999;0;9.449699291333673;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;6;18;1;47;36;0;0;0.089999999999999997;0.91000000000000003;0.0;0.0;2;44;81;9;0.20000000000000001;0.25;0.51000000000000001;0.040000000000000001;1;11.032834525563885;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;7;29;0;66;40;92;49;0.46999999999999997;0.10000000000000001;0.34000000000000002;0.089999999999999997;8;94;0;0;0.44;0.56000000000000005;0.0;0.0;0;16.166003628002727;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;8;13;0;15;25;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;3;43;35;73;0.44;0.40000000000000002;0.01;0.14999999999999999;1;9.449752851856829;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;9;51;1;38;13;51;84;0.91000000000000003;0.070000000000000007;0.01;0.0099999999999999603;4;89;35;16;0.80000000000000004;0.089999999999999997;0.059999999999999998;0.050000000000000003;0;16.449302558588897;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;10;65;0;35;15;77;1;0.62;0.33000000000000002;0.029999999999999999;0.02;68;3;25;96;0.38;0.28000000000000003;0.28000000000000003;0.059999999999999901;1;19.982486029361098;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;11;38;0;51;89;10;60;0.57999999999999996;0.029999999999999999;0.080000000000000002;0.31;8;84;0;0;0.33000000000000002;0.67000000000000004;0.0;0.0;1;15.699460032945353;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;12;70;1;21;42;14;63;0.96999999999999997;0.01;0.01;0.01;70;2;6;76;0.23999999999999999;0.42999999999999999;0.01;0.32000000000000001;1;18.932552226322514;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;13;75;1;21;86;27;62;0.88;0.040000000000000001;0.070000000000000007;0.0099999999999999794;13;3;49;87;0.28999999999999998;0.39000000000000001;0.070000000000000007;0.25;0;17.749278376171787;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;14;50;0;17;12;21;14;0.55000000000000004;0.34000000000000002;0.059999999999999998;0.049999999999999899;13;93;0;0;0.28999999999999998;0.70999999999999996;0.0;0.0;1;8.466226080576234;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;15;46;0;79;57;98;81;0.67000000000000004;0.070000000000000007;0.20999999999999999;0.050000000000000003;1;76;0;0;0.56000000000000005;0.44;0.0;0.0;0;9.999555479722403;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;16;72;1;86;85;97;43;0.51000000000000001;0.14999999999999999;0.33000000000000002;0.0099999999999999499;72;29;10;90;0.01;0.11;0.65000000000000002;0.23000000000000001;0;18.099338735997662;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;17;73;1;99;88;95;28;0.83999999999999997;0.14000000000000001;0.01;0.01;90;93;10;74;0.080000000000000002;0.46000000000000002;0.34999999999999998;0.11;0;7.649622446413559;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;18;1;0;67;36;0;0;0.14999999999999999;0.84999999999999998;0.0;0.0;1;4;81;77;0.25;0.54000000000000004;0.14000000000000001;0.070000000000000007;0;10.249544254464126;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;19;49;0;14;31;42;22;0.77000000000000002;0.089999999999999997;0.02;0.12;87;28;0;0;0.68000000000000005;0.32000000000000001;0.0;0.0;1;7.6996611254508025;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;20;28;0;37;83;75;8;0.83999999999999997;0.070000000000000007;0.01;0.080000000000000002;94;2;0;0;0.19;0.81000000000000005;0.0;0.0;0;13.332894372233568;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;21;5;0;23;58;0;0;0.71999999999999997;0.28000000000000003;0.0;0.0;94;12;52;3;0.11;0.84999999999999998;0.029999999999999999;0.01;0;15.932680515001266;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;22;64;1;44;60;96;45;0.53000000000000003;0.10000000000000001;0.029999999999999999;0.34000000000000002;88;20;43;31;0.47999999999999998;0.38;0.050000000000000003;0.089999999999999997;1;13.516148658356542;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;23;2;1;41;60;0;0;0.97999999999999998;0.02;0.0;0.0;10;14;97;6;0.54000000000000004;0.17000000000000001;0.12;0.17000000000000001;0;11.49961769973197;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;24;69;1;38;74;27;73;0.22;0.19;0.45000000000000001;0.14000000000000001;1;97;79;84;0.28000000000000003;0.45000000000000001;0.17000000000000001;0.10000000000000001;1;20.64913430798515;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;25;30;0;54;78;85;25;0.20999999999999999;0.60999999999999999;0.089999999999999997;0.090000000000000094;87;20;0;0;0.58999999999999997;0.40999999999999998;0.0;0.0;1;11.899624050021885;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;26;14;1;92;56;0;0;0.11;0.89000000000000001;0.0;0.0;97;31;51;4;0.58999999999999997;0.22;0.080000000000000002;0.11;0;13.699374720972628;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;27;56;1;47;52;64;10;0.77000000000000002;0.040000000000000001;0.11;0.080000000000000002;1;5;12;99;0.14000000000000001;0.28999999999999998;0.27000000000000002;0.29999999999999999;0;19.215840893813947;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;28;15;0;24;59;0;0;0.56999999999999995;0.42999999999999999;0.0;0.0;9;8;80;22;0.31;0.10000000000000001;0.55000000000000004;0.039999999999999897;1;17.865892465863;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;29;67;0;74;31;10;77;0.11;0.070000000000000007;0.77000000000000002;0.050000000000000003;2;23;8;97;0.56999999999999995;0.01;0.059999999999999998;0.35999999999999999;1;23.73236255150732;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;30;43;0;11;17;21;44;0.16;0.46000000000000002;0.25;0.13;2;66;0;0;0.44;0.56000000000000005;0.0;0.0;1;9.816396447944499;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;31;45;1;37;40;75;23;0.54000000000000004;0.38;0.059999999999999998;0.02;1;90;0;0;0.28000000000000003;0.71999999999999997;0.0;0.0;1;19.649167342320652;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;32;59;1;13;27;48;51;0.56999999999999995;0.13;0.13;0.17000000000000001;8;37;97;1;0.65000000000000002;0.16;0.14999999999999999;0.040000000000000001;0;14.816031466647473;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;33;61;1;51;48;56;88;0.91000000000000003;0.02;0.01;0.059999999999999998;78;21;14;82;0.55000000000000004;0.29999999999999999;0.070000000000000007;0.080000000000000002;1;12.316085989335988;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;34;26;0;24;46;74;59;0.29999999999999999;0.11;0.25;0.34000000000000002;91;6;0;0;0.28999999999999998;0.70999999999999996;0.0;0.0;0;18.63254401584709;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;35;57;0;39;68;59;91;0.73999999999999999;0.040000000000000001;0.14999999999999999;0.070000000000000007;9;22;40;84;0.29999999999999999;0.32000000000000001;0.040000000000000001;0.34000000000000002;0;13.266119151960083;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;36;16;0;50;42;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;97;2;56;31;0.35999999999999999;0.16;0.16;0.32000000000000001;1;17.83258712084171;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;37;22;0;84;87;0;0;0.17000000000000001;0.82999999999999996;0.0;0.0;3;24;41;83;0.68000000000000005;0.11;0.10000000000000001;0.11;0;6.932980389792647;55;93;22;2;nein
2019_03_22 14:53;54;0;1;practice;38;8;0;20;44;0;0;0.26000000000000001;0.73999999999999999;0.0;0.0;99;3;69;24;0.20999999999999999;0.60999999999999999;0.12;0.060000000000000102;0;8.366417166565952;55;93;22;2;nein
