date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_18 10:22;38;0;1;practice;1;25;0;7;18;0;0;0.20999999999999999;0.79000000000000004;0.0;0.0;92;45;33;13;0.41999999999999998;0.17999999999999999;0.22;0.17999999999999999;1;11.176854005161658;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;2;32;1;21;86;16;78;0.45000000000000001;0.41999999999999998;0.050000000000000003;0.080000000000000099;95;9;0;0;0.42999999999999999;0.56999999999999995;0.0;0.0;0;16.941035729050782;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;3;48;0;20;25;24;35;0.32000000000000001;0.13;0.48999999999999999;0.059999999999999901;44;76;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;1;14.089888865690227;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;4;20;1;32;11;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;86;42;65;0.45000000000000001;0.38;0.050000000000000003;0.12;0;21.444068020573468;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;5;36;1;56;89;86;77;0.66000000000000003;0.080000000000000002;0.14999999999999999;0.11;29;91;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;0;14.389388310675713;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;6;37;1;50;66;99;12;0.26000000000000001;0.71999999999999997;0.01;0.01;22;90;0;0;0.37;0.63;0.0;0.0;1;11.21730829243279;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;7;62;0;65;52;74;55;0.16;0.12;0.14999999999999999;0.56999999999999995;72;86;2;68;0.12;0.53000000000000003;0.22;0.13;0;6.634288868383919;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;8;40;0;29;65;30;41;0.70999999999999996;0.01;0.14999999999999999;0.13;2;59;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;1;8.395565788810927;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;9;64;0;44;60;96;45;0.53000000000000003;0.10000000000000001;0.029999999999999999;0.34000000000000002;88;20;43;31;0.47999999999999998;0.38;0.050000000000000003;0.089999999999999997;0;22.664938922795045;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;10;13;1;15;25;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;3;43;35;73;0.44;0.40000000000000002;0.01;0.14999999999999999;1;7.845120125826725;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;11;58;0;44;50;85;42;0.38;0.57999999999999996;0.02;0.02;37;88;19;12;0.20000000000000001;0.29999999999999999;0.46000000000000002;0.040000000000000001;0;6.974621055767784;11;10;22;2;nein
2019_03_18 10:22;38;0;1;practice;12;23;0;99;93;0;0;0.57999999999999996;0.41999999999999998;0.0;0.0;64;10;80;81;0.13;0.55000000000000004;0.02;0.29999999999999999;0;9.566166304088256;11;10;22;2;nein
