"num","payoffa1","payoffa2","proba1","proba2","payoffb1","payoffb2","probb1","probb2"
1,9,48,0.25,0.75,91,2,0.14,0.86
2,22,52,0.61,0.39,4,99,0.89,0.11
3,35,66,0.55,0.45,96,3,0.24,0.76
4,48,67,0.92,0.08,84,4,0.26,0.74
5,45,36,0.95,0.05,92,1,0.18,0.82
6,38,67,0.03,0.97,7,92,0.57,0.43
7,17,77,0.53,0.47,6,95,0.72,0.28
8,67,20,0.63,0.37,9,98,0.75,0.25
9,36,18,0.96,0.04,2,57,0.7,0.3
10,61,43,0.31,0.69,87,7,0.3,0.7
11,69,56,0.4,0.6,15,99,0.62,0.38
12,49,33,0.95,0.05,9,99,0.75,0.25
13,19,46,0.52,0.48,12,77,0.84,0.16
14,14,45,0.4,0.6,97,8,0.17,0.83
15,63,79,0.55,0.45,26,92,0.47,0.53
16,32,48,0.28,0.72,78,5,0.39,0.61
17,57,79,0.49,0.51,90,4,0.61,0.39
18,82,73,0.03,0.97,17,92,0.41,0.59
19,68,31,0.9,0.1,30,82,0.43,0.57
20,49,38,0.62,0.38,56,14,0.59,0.41
21,16,51,0.5,0.5,5,99,0.74,0.26
22,51,47,0.16,0.84,71,13,0.5,0.5
23,32,43,0.8,0.2,2,85,0.7,0.3
24,21,46,0.06,0.94,90,3,0.41,0.59
25,27,16,0.06,0.94,77,10,0.07,0.93
26,56,37,0.83,0.17,83,34,0.35,0.65
27,30,65,0.1,0.9,26,92,0.51,0.49
28,45,37,0.36,0.64,69,3,0.54,0.46
29,94,60,0.03,0.97,15,95,0.44,0.56
30,64,70,0.39,0.61,8,95,0.35,0.65
31,88,57,0.47,0.53,94,32,0.7,0.3
32,35,72,0.9,0.1,83,21,0.29,0.71
33,30,18,0.39,0.61,98,13,0.12,0.88
34,45,42,0.87,0.13,86,30,0.33,0.67
35,39,50,0.03,0.97,84,19,0.48,0.52
36,41,29,0.1,0.9,4,89,0.69,0.31
37,42,81,0.69,0.31,23,83,0.4,0.6
38,59,41,0.33,0.67,12,72,0.32,0.68
39,14,36,0.81,0.19,3,75,0.72,0.28
40,56,29,0.51,0.49,17,99,0.6,0.4
41,34,56,0.91,0.09,16,94,0.68,0.32
42,59,43,0.91,0.09,96,11,0.62,0.38
43,93,26,0.41,0.59,1,99,0.34,0.66
44,40,90,0.6,0.4,96,1,0.75,0.25
45,60,11,0.32,0.68,2,99,0.66,0.34
46,43,16,0.09,0.91,86,5,0.3,0.7
47,47,32,0.87,0.13,17,90,0.48,0.52
48,45,56,0.86,0.14,10,96,0.45,0.55
49,86,18,0.33,0.67,3,92,0.43,0.57
50,64,24,0.47,0.53,84,2,0.72,0.28
51,44,71,0.59,0.41,3,92,0.23,0.77
52,64,44,0.21,0.79,2,84,0.23,0.77
53,35,77,0.95,0.05,12,99,0.56,0.44
54,18,28,0.52,0.48,1,92,0.59,0.41
55,89,20,0.27,0.73,1,95,0.38,0.62
56,38,71,0.5,0.5,90,1,0.82,0.18
57,53,13,0.54,0.46,1,90,0.38,0.62
58,10,38,0.22,0.78,3,86,0.42,0.58
59,8,33,0.5,0.5,93,1,0.49,0.51
60,31,45,0.68,0.32,95,1,0.67,0.33
