date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_25 11:51;57;0;0;practice;1;47;1;91;99;90;78;0.93000000000000005;0.040000000000000001;0.02;0.0099999999999999499;10;87;0;0;0.23000000000000001;0.77000000000000002;0.0;0.0;1;11.340271699580057;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;2;40;0;29;65;30;41;0.70999999999999996;0.01;0.14999999999999999;0.13;2;59;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;0;11.099623820811757;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;3;45;1;37;40;75;23;0.54000000000000004;0.38;0.059999999999999998;0.02;1;90;0;0;0.28000000000000003;0.71999999999999997;0.0;0.0;0;6.88310381666804;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;4;41;0;19;54;51;8;0.76000000000000001;0.070000000000000007;0.16;0.0099999999999999794;2;77;0;0;0.54000000000000004;0.46000000000000002;0.0;0.0;0;6.64978387897861;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;5;59;0;13;27;48;51;0.56999999999999995;0.13;0.13;0.17000000000000001;8;37;97;1;0.65000000000000002;0.16;0.14999999999999999;0.040000000000000001;0;10.732969544848515;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;6;20;0;32;11;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;86;42;65;0.45000000000000001;0.38;0.050000000000000003;0.12;0;3.3999071178336635;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;7;74;1;36;46;10;12;0.11;0.19;0.65000000000000002;0.049999999999999899;92;24;79;19;0.51000000000000001;0.40999999999999998;0.02;0.059999999999999998;1;5.533236645221905;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;8;63;1;24;82;6;96;0.91000000000000003;0.070000000000000007;0.01;0.0099999999999999603;73;10;71;22;0.31;0.51000000000000001;0.050000000000000003;0.13;1;24.96590813966577;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;9;66;1;44;18;63;36;0.47999999999999998;0.10000000000000001;0.029999999999999999;0.39000000000000001;13;93;61;53;0.52000000000000002;0.45000000000000001;0.02;0.0099999999999999707;0;8.399915135976471;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;10;43;1;11;17;21;44;0.16;0.46000000000000002;0.25;0.13;2;66;0;0;0.44;0.56000000000000005;0.0;0.0;0;5.966401736537364;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;11;16;0;50;42;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;97;2;56;31;0.35999999999999999;0.16;0.16;0.32000000000000001;0;6.94979199333909;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;12;11;0;10;44;0;0;0.48999999999999999;0.51000000000000001;0.0;0.0;88;12;54;50;0.17000000000000001;0.75;0.02;0.059999999999999998;1;9.249722812803043;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;13;10;1;34;59;0;0;0.16;0.83999999999999997;0.0;0.0;21;61;96;7;0.19;0.01;0.5;0.29999999999999999;0;9.883020107257039;62;22;20;2;
2019_03_25 11:51;57;0;0;practice;14;9;1;57;44;0;0;0.14999999999999999;0.84999999999999998;0.0;0.0;38;35;64;95;0.34000000000000002;0.45000000000000001;0.089999999999999997;0.12;0;4.599855224413318;62;22;20;2;
